Czas_Zapisu;Czas_Procesu;1_Temp_Keg;2_Temp_Bufor;3_Temp_10p;4_Temp_Glowica;5_Temp_Woda;Napiecie_V;Prad_A;Moc_W;Zuzycie_Wh;Temp_Zewn_C;Cisnienie_hPa;Zawor;Komentarz
2026-07-09 18:00:15;00:00:07;0,0;0,0;0,1;0,1;0,2;228,1;0,00;0,0;0,01;17,0;997,5;OFF;
2026-07-09 18:10:15;00:10:00;0,0;0,0;0,1;0,1;0,2;228,1;0,00;0,0;0,01;17,0;997,6;OFF;
2026-07-09 18:10:25;00:10:10;0,0;0,0;0,1;0,1;0,2;228,1;0,00;0,0;0,01;17,0;997,6;OFF;
2026-07-09 18:10:36;00:10:21;0,0;0,0;0,1;0,1;0,2;228,1;0,00;0,0;0,01;17,0;997,6;OFF;
2026-07-09 18:10:47;00:10:32;0,0;0,0;0,1;0,1;0,2;228,1;0,00;0,0;0,01;17,0;997,6;OFF;
